timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
206012979,14.613508,14.604261,10.8624,10.37706,0.0,373.82993,0.41665152,1.1165806,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
206512638,14.83723,14.617923,9.6472,10.179372,0.0,375.24777,0.41601154,1.1157098,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
207012561,14.568764,14.62226,9.238,10.013831,0.0,376.63055,0.41542926,1.1155998,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
207512649,14.738792,14.632406,10.292,9.833887,0.0,378.0116,0.41482347,1.114987,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
208012610,14.371888,14.580479,8.630401,10.235949,0.0,379.47055,0.4141712,1.1190087,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
208512584,14.425582,14.602332,12.6356,10.060663,0.0,380.82547,0.4135175,1.1174397,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
209013535,14.649304,14.603658,10.9244,10.323774,0.0,382.26828,0.41288534,1.1170564,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
209522327,14.649304,14.63252,9.4984,9.698988,0.0,383.60327,0.4123163,1.1148999,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
210022335,14.711945,14.640918,9.6596,9.772928,0.0,384.9649,0.4118322,1.1139116,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
210522389,14.747741,14.642336,10.0812,9.804187,0.0,386.3329,0.41138184,1.113784,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
211022476,14.157116,14.640837,9.0892,9.88292,0.0,387.73395,0.41089162,1.1143354,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
211532541,14.67615,14.657233,9.8704,9.657206,0.0,389.05798,0.41045985,1.1133835,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
212033603,14.801434,14.627256,10.602,10.257898,0.0,390.5345,0.40995684,1.1150138,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
212532578,14.792485,14.645001,9.8456,9.938236,0.0,391.89548,0.40947956,1.1137184,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
213032679,14.864076,14.6589775,8.184,9.354302,0.0,393.15222,0.40906858,1.1132462,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
213533438,14.658253,14.6948185,7.9484,8.501445,0.0,394.2883,0.4087161,1.1119219,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
214032630,14.890923,14.737635,8.618,8.268592,0.0,395.40857,0.40845737,1.1097047,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
214532494,14.962515,14.733066,7.8244004,8.09848,0.0,396.51306,0.40825284,1.110624,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
215032507,14.899872,14.742119,8.8536,8.592768,0.0,397.73737,0.40801218,1.1096978,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
215542364,14.631406,14.745107,7.192,8.397559,0.0,398.93726,0.40779498,1.1096416,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
216042340,14.846178,14.734396,9.5604,8.776959,0.0,400.17676,0.40758535,1.109967,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
216542333,14.765639,14.721816,8.3576,8.884156,0.0,401.44,0.40732887,1.1103622,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
217042980,14.640354,14.751933,7.998,8.564473,0.0,402.59738,0.40715355,1.1086801,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
217542420,14.935667,14.760455,9.262799,8.680713,0.0,403.80307,0.4070057,1.1081029,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
218042336,14.649304,14.737639,9.114,9.363035,0.0,405.14026,0.40683702,1.1087981,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
218542332,14.452429,14.677449,10.341599,10.066831,0.0,406.58542,0.40656215,1.112087,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
219043357,14.91777,14.638103,8.7296,9.962223,0.0,407.99988,0.40616035,1.1146504,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
219542484,14.398734,14.674567,9.448799,9.0464115,0.0,409.20087,0.40576333,1.1130883,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
220044050,14.899872,14.674124,8.1592,9.002036,0.0,410.47977,0.4053571,1.1143574,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
220542334,14.353991,14.698051,10.6516,8.568992,0.0,411.6212,0.40499717,1.1131277,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
221053825,14.67615,14.72105,8.146799,8.673906,0.0,412.9079,0.40466183,1.1112071,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
221552552,14.828281,14.7599325,7.6383996,7.9534154,0.0,413.93613,0.40449774,1.1096215,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
222052498,14.541917,14.751192,9.1636,8.372286,0.0,415.11798,0.40433693,1.1096895,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
222553353,14.801434,14.736612,7.502,8.665584,0.0,416.34918,0.40412694,1.1103475,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
